	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa-miR-5587-3p	0	0.354320441738381	0	0	0	0	0
hsa-miR-6743-3p	0	0.354320441738381	0	0	0	0	0.21608502340633
hsa-miR-4701-3p	0	0.354320441738381	0	0	0	0.210513973022845	0
hsa-miR-2116-5p	0	0.354320441738381	0	0	0	0	0
hsa-miR-3154	0	0.354320441738381	0.111804722765655	0.35152012534739	0	0.210513973022845	0.720283411354432
hsa-miR-6782-5p	0	0.354320441738381	0	0	0	0	0
hsa-miR-548a-5p	0	0.354320441738381	0	0	0	0	0
hsa-miR-4779	0	0.354320441738381	0	0	0.96182467252401	0	0.0720283411354432
hsa-miR-6501-3p	0	0.354320441738381	0	0.35152012534739	0	0.210513973022845	0.432170046812659
hsa-miR-1285-3p	0	0.354320441738381	0.670828336593932	1.93336068941064	1.41742583319328	0	1.08042511703165
hsa-miR-3190-3p	0	0.354320441738381	0.223609445531311	0.117173375115797	0.151867053556423	0	0
hsa-miR-3139	0	0.354320441738381	0	0.234346750231593	0	0.105256986511422	0.432170046812659
hsa-miR-3200-5p	0	0.354320441738381	0.223609445531311	0.0585866875578983	0	0.210513973022845	0.576226729083546
hsa-miR-6855-3p	0	0.354320441738381	0	0.234346750231593	0	0.210513973022845	0
hsa-miR-4521	0	0.354320441738381	1.0062425048909	0	0.708712916596639	0.42102794604569	1.00839677589621
hsa-miR-4786-5p	0	0.354320441738381	0	0.0585866875578983	0	0	0
hsa-miR-7973	0	0.354320441738381	0.894437782125242	0.527280188021085	0.911202321338536	0	0
hsa-miR-6740-5p	0	0.354320441738381	0	0	0.556845863040216	0.210513973022845	0
hsa-miR-6888-3p	0	0.354320441738381	0.167707084148483	0	0	0	0
hsa-miR-3188	0	0.354320441738381	0.447218891062621	0.292933437789491	0	0.736798905579957	1.00839677589621
hsa-miR-147b	0	0.354320441738381	0.223609445531311	0.410106812905288	0	1.8946257572056	0
hsa-miR-5187-3p	0	0.354320441738381	0	0	0	0	0
hsa-miR-509-3-5p	0	0.354320441738381	0.223609445531311	0.878800313368474	0.759335267782113	0	1.65665184611519
hsa-miR-933	0	0.354320441738381	0	0	0	0	0
hsa-miR-552-5p	0	0.354320441738381	0	0.35152012534739	0.151867053556423	0.105256986511422	0.792311752489876
hsa-miR-4661-3p	0	0.354320441738381	0	0.35152012534739	0	0	0
hsa-miR-6862-5p	0	0.354320441738381	0.111804722765655	0	0	0	0
hsa-miR-1180-5p	0	0.354320441738381	0	0.117173375115797	0	0.210513973022845	0
hsa-miR-4800-5p	0	0.354320441738381	0.223609445531311	0.644453563136881	0.658090565411165	0	1.08042511703165
hsa-miR-4709-5p	0	0.354320441738381	0.167707084148483	0	0.35435645829832	0.736798905579957	0.144056682270886
hsa-miR-3914	0	0.354320441738381	0.167707084148483	0	0.253111755927371	0.42102794604569	0.576226729083546
hsa-miR-149-3p	0	0.354320441738381	0	0	0	0	0.360141705677216
hsa-miR-7155-3p	0	0.354320441738381	0.111804722765655	0.234346750231593	0	0	0.360141705677216
hsa-miR-935	0	0.354320441738381	0.559023613828276	0.937387000926373	0.35435645829832	0.42102794604569	0.936368434760762
hsa-miR-548au-5p	0	0.354320441738381	0	0.410106812905288	0	0	0.504198387948103
hsa-miR-33a-5p	0	0.354320441738381	1.17394958903938	0.878800313368474	1.5692928867497	0.42102794604569	0.648255070218989
hsa-let-7f-2-3p	0	0.354320441738381	1.17394958903938	0.644453563136881	0.759335267782113	0.736798905579957	0.468184217380381
hsa-miR-3936	0	0.354320441738381	0	0.234346750231593	0	0	0.864340093625319
hsa-miR-889-5p	0	0.354320441738381	0.223609445531311	0.937387000926373	0.556845863040216	1.05256986511422	1.08042511703165
hsa-miR-939-5p	0	0.354320441738381	0	0	0	0.42102794604569	0.432170046812659
hsa-miR-6758-3p	0	0.354320441738381	0.167707084148483	1.23032043871586	0	0.736798905579957	0.504198387948103
hsa-miR-4421	0	0.354320441738381	0	0.292933437789491	0	0	0
hsa-miR-3157-3p	0	0.354320441738381	0	0.175760062673695	0	0.105256986511422	0.144056682270886
hsa-miR-203b-3p	0	0.354320441738381	0	0	0.35435645829832	0.105256986511422	0
hsa-miR-660-3p	0	0.354320441738381	0.447218891062621	0.644453563136881	1.31618113082233	0.105256986511422	0.432170046812659
hsa-miR-541-5p	0	0.354320441738381	1.11804722765655	0.820213625810576	1.01244702370948	0.947312878602802	3.31330369223039
hsa-miR-186-3p	0	0.354320441738381	0.223609445531311	0.410106812905288	0.506223511854742	0	0
hsa-miR-4689	0	0.354320441738381	0	0.234346750231593	0	0	0
hsa-miR-6769b-3p	0	0.354320441738381	0.0559023613828276	0.117173375115797	0	0	0
hsa-miR-200a-5p	0	0.354320441738381	0.279511806914138	0.703040250694779	2.37925050571729	1.05256986511422	0.504198387948103
hsa-miR-4735-5p	0	0.354320441738381	0.111804722765655	0	0	0	0
hsa-miR-548ai|hsa-miR-570-5p	0	0.354320441738381	0.335414168296966	0.117173375115797	0	0	0
hsa-miR-1260a	0	0.354320441738381	0	0.0585866875578983	0.0506223511854742	0	0
hsa-miR-6820-5p	0	0.354320441738381	0	0.117173375115797	0	0	0.432170046812659
